"Country","Quốc gia"
"Allowed Credit Card Types","Các loại thẻ tín dụng được cho phép"
"Add Rule","Thêm quy tắc"
"Braintree Settlement Report","Braintree Settlement Report"
"Sorry, but something went wrong","Sorry, but something went wrong"
"We can't initialize checkout.","Chúng tôi không thể khởi tạo thanh toán."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Braintree error response.","Braintree error response."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Wrong transaction status"
"Authorize","Ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"--Please Select--","--Vui lòng chọn--"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number"
"Expiration Date","Ngày hết hạn"
"Please, enter valid Expiration Date","Please, enter valid Expiration Date"
"Card Verification Number","Số xác minh thẻ"
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number"
"ending","ending"
"expires","expires"
"PayPal Account","Tài khoản PayPal"
"PayPal Logo","PayPal Logo"
"Actions","Hành động"
"Delete","Xóa"
"Credit Card Information","Thông tin thẻ tín dụng"
"What is this?","Đây là gì?"
"Save for later use.","Save for later use."
"Place Order","Đặt hàng"
"This payment is not available","This payment is not available"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Please try again with another form of payment."
"Sorry, but something went wrong.","Sorry, but something went wrong."
"Payment ","Thanh toán "
"Braintree","Cổng Thanh Toán Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Chấp nhận thẻ tín dụng/ghi nợ và PayPal ở cửa hàng Magento của bạn.<br/>không có lệ phí thiết lập hoặc hàng tháng và khách hàng tự hoàn tất việc mua hàng."
"Enable this Solution","Kích hoạt giải pháp này"
"Enable PayPal through Braintree","Bật Cổng Thanh Toán PayPal qua Braintree"
"Vault Enabled","Vault đã được bật"
"Basic Braintree Settings","Cấu Hình Braintree Cơ Bản"
"Title","Tiêu đề"
"Environment","Môi Trường"
"Payment Action","Hành động thanh toán"
"Merchant ID","Mã Nhận Diện Người Bán"
"Public Key","Mã Khóa Công Khai"
"Private Key","Mã Khóa Cá Nhân"
"Advanced Braintree Settings","Cấu Hình Braintree Nâng Cao"
"Vault Title","Vault Title"
"Merchant Account ID","Mã Nhận Diện Tài Khoản Người Bán"
"Advanced Fraud Protection","Chống Gian Lận Nâng Cao"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Sửa Lỗi"
"CVV Verification","Yêu Cầu Xác Nhận Mã Bảo Mật CVV"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Sort Order","Sắp xếp đơn hàng"
"Country Specific Settings","Cấu Hình Quốc Gia Cụ Thể"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Country Specific Credit Card Types","Các Loại Thẻ Tín Dụng theo Quốc Gia"
"PayPal through Braintree","Dùng PayPal qua Braintree"
"Override Merchant Name","Ghi Đè Tên Người Bán"
"Require Customer's Billing Address","Yêu cầu địa chỉ thanh toán của khách hàng"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Cho Phép Thay Đổi Địa Chỉ Giao Hàng Đã Nhập Khi Đang Thanh Toán trên cCổng PayPal"
"Display on Shopping Cart","Hiển thị trên Giỏ hàng"
"Skip Order Review","Bỏ qua xem lại đơn đặt hàng"
"3D Secure Verification Settings","Cấu Hình Xác Nhận Cổng Thanh Toán 3D Secure"
"3D Secure Verification","Xác Nhận Cổng Thanh Toán 3D Secure"
"Threshold Amount","Threshold Amount"
"Verify for Applicable Countries","Verify for Applicable Countries"
"Verify for Specific Countries","Verify for Specific Countries"
"Dynamic Descriptors","Mô tả động"
"Name","Tên"
"Phone","Điện thoại"
"URL","URL"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","Chọn..."
"Status","Tình trạng"
"Transaction Type","Loại giao dịch"
"Payment Type","Payment Type"
"PayPal Payment ID","PayPal Payment ID"
"Created At","Đã tạo vào"
"Transaction ID","ID giao dịch"
"Order ID","ID đặt hàng"
"Type","Loại"
"Amount","Số lượng"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Ngoại tệ"
